algo,env,seed,step,metric,value
td3,Pendulum-v1,0,200,episode_reward,-1842.681837008272
td3,Pendulum-v1,0,400,episode_reward,-1358.1893960598218
td3,Pendulum-v1,0,600,episode_reward,-1426.2088932253434
td3,Pendulum-v1,0,800,episode_reward,-1459.9400683726144
td3,Pendulum-v1,0,1000,episode_reward,-1566.6513374676251
td3,Pendulum-v1,0,1200,episode_reward,-1571.3513130251702
td3,Pendulum-v1,0,1400,episode_reward,-1536.273311037799
td3,Pendulum-v1,0,1600,episode_reward,-1569.329687651893
td3,Pendulum-v1,0,1800,episode_reward,-1528.9337872671374
td3,Pendulum-v1,0,2000,episode_reward,-1561.3184998867264
td3,Pendulum-v1,0,2200,episode_reward,-1419.7777831866151
td3,Pendulum-v1,0,2400,episode_reward,-1395.1650153494816
td3,Pendulum-v1,0,2600,episode_reward,-1495.1172838034436
td3,Pendulum-v1,0,2800,episode_reward,-1410.507532709018
td3,Pendulum-v1,0,3000,episode_reward,-1408.2886706782942
td3,Pendulum-v1,0,3200,episode_reward,-1469.813773022678
td3,Pendulum-v1,0,3400,episode_reward,-1175.8262132126108
td3,Pendulum-v1,0,3600,episode_reward,-1249.49454166781
td3,Pendulum-v1,0,3800,episode_reward,-1446.3090426556219
td3,Pendulum-v1,0,4000,episode_reward,-1246.5037894518064
td3,Pendulum-v1,0,4200,episode_reward,-1229.513093945675
td3,Pendulum-v1,0,4400,episode_reward,-1241.3955655258933
td3,Pendulum-v1,0,4600,episode_reward,-1287.0725285960796
td3,Pendulum-v1,0,4800,episode_reward,-1522.777713330798
td3,Pendulum-v1,0,5000,episode_reward,-1271.5907302072171
td3,Pendulum-v1,0,5200,episode_reward,-1310.233948452553
td3,Pendulum-v1,0,5400,episode_reward,-1243.3634603348837
td3,Pendulum-v1,0,5600,episode_reward,-1163.8533827586514
td3,Pendulum-v1,0,5800,episode_reward,-1244.0960158369235
td3,Pendulum-v1,0,6000,episode_reward,-1175.8484706284678
